system:index,B1,B2,B3,B4,B5,Latitude,Longitude,Pixel-Y,class,﻿Pixel-X,.geo
00000000000000000155,0.0272,0.0336,0.0461,0.009,0.0043,49.74066567,-124.8806462,8209.5,spawn,9680.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156,0.0272,0.0371,0.0478,0.0091,0.0043,49.74066074,-124.8805078,8209.5,spawn,9681.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000aa,0.0257,0.0305,0.0447,0.0081,0.0044,49.74132323,-124.8814236,8202.5,spawn,9674.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ab,0.0257,0.0307,0.043,0.007,0.0044,49.7413183,-124.8812851,8202.5,spawn,9675.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cb,0.0257,0.0298,0.0421,0.0067,0.0044,49.74123352,-124.8814312,8203.5,spawn,9674.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cc,0.0257,0.0303,0.0444,0.0089,0.0044,49.74122859,-124.8812928,8203.5,spawn,9675.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000114,0.0242,0.0283,0.04,0.0078,0.0044,49.74099396,-124.8822846,8206.5,spawn,9668.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000115,0.0242,0.0292,0.0393,0.0082,0.0044,49.74098903,-124.8821462,8206.5,spawn,9669.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000118,0.0252,0.0332,0.0448,0.0071,0.0044,49.74097425,-124.8817309,8206.5,spawn,9672.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000119,0.0252,0.0314,0.0422,0.0078,0.0044,49.74096932,-124.8815924,8206.5,spawn,9673.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000129,0.0242,0.0295,0.0377,0.0076,0.0044,49.74090425,-124.8822922,8207.5,spawn,9668.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012a,0.0242,0.0297,0.0396,0.0082,0.0044,49.74089932,-124.8821538,8207.5,spawn,9669.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012d,0.0252,0.0293,0.0448,0.0068,0.0044,49.74088453,-124.8817385,8207.5,spawn,9672.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012e,0.0252,0.033,0.0434,0.0089,0.0044,49.7408796,-124.88159942626953,8207.5,spawn,9673.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007fe,0.0229,0.0318,0.0454,0.0086,0.0044,49.69322824,-124.8474889,8723.5,spawn,9948.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,0.0264,0.0351,0.0456,0.0082,0.0045,49.742036,-124.8812243,8194.5,spawn,9675.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,0.0264,0.0337,0.0431,0.0083,0.0045,49.74195122,-124.8813703,8195.5,spawn,9674.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,0.0264,0.0335,0.0448,0.0096,0.0045,49.74194629,-124.8812319,8195.5,spawn,9675.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e,0.0252,0.0304,0.04,0.0085,0.0045,49.74169194,-124.88166809082031,8198.5,spawn,9672.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,0.0252,0.0292,0.0421,0.0082,0.0045,49.74168701,-124.8815316,8198.5,spawn,9673.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
